id,Star_name,Distance,Mass,Radius
0,54 Piscium,36.1,53,0.7987
1,81 Cancri,66,,
2,AB Pictoris,66.6,13.5,
3,CD−33°7795,163.08,20,
4,CT Chamaeleontis,538,17,2.2
5,Eta Coronae Borealis,58.3,63,
6,G 196-3,50.2,25,
7,GD 165,103,,
8,Gliese 570,19.0,52,
9,GU Piscium,155.3,11,
10,HD 89744,126.2,,
11,HD 100546,337.25,20,
12,HN Pegasi,58.3,28,1.01
13,LHS 4040 [es],,,
14,UScoCTIO 108,473,14,
15,WD 0137-349,330,53,
16,HD 41004 B,139,18.4,
17,CoRoT-15,,63.4,1.12
18,Xi Ursae Majoris B,25.11,37,
19,Upsilon Andromedae,43.9,13.98,
20,Gliese 758,51.9,23,
21,HD 112758,53.81,35,
22,BD−04°782,66.6,21,
23,HD 110833,55.44,17,
24,HD 89707,81.54,54,
25,Tau Geminorum,302,18.1,
26,HAT-P-13,698,15.2,
27,HD 217580,58.7,60,
28,HD 16760,163,14.3,
29,HD 13189,603.4,14,
30,HD 18445,83.92,39,
31,HD 8673,124.75,14,
32,NGC 4349-127,7097,19.8,
33,Gliese 569,31.5,116[6],
34,HD 29587,146.77,40,
35,ChaHα8,522,18,
36,CoRoT-20,4000,17,
37,HD 168443,123.5,34,
38,HD 38529 A,138,37,
39,Epsilon Indi,11.8,28,
40,HW Virginis,590,19.23,
41,DT Virginis,37.55,12.5,1.1
42,HD 4113,136,60,
43,Gliese 229,19,40,
44,TYC 9486-927-1,111,13.3 (± 1.7)  MJ,
45,Epsilon Indi,11.8,47,
46,HD 131664,180.8,18.15,
47,HD 136118,171,42,
48,HD 140913,156.42,46,
49,GQ Lupi b,400,1-42,1.8
50,HD 162020,101.95,15.0,
51,Nu Ophiuchi,152.8,21.9,
52,HD 164427,127.52,46,
53,SCR 1845-6357,12.57,40-50,
54,COROT-3,2220,21.66,1.01
55,V921 Scorpii[8],4833,60,
56,15 Sagittae,57.7,65,
57,Zeta Delphini,220,55,
58,HD 202206,151.14,17.4,
